   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
  188   587      0.0582   0.0473    0.0473   0.5004   0.0000  0.0000  0.4414
  189   588      0.0577   0.0471    0.0471   0.5013   0.0000  0.0000  0.4409
  190   589      0.0573   0.0469    0.0469   0.5022   0.0000  0.0000  0.4405
  191   590      0.0569   0.0467    0.0467   0.5029   0.0000  0.0000  0.4401
  192   591      0.0566   0.0465    0.0465   0.5036   0.0000  0.0000  0.4397
  193   592      0.0563   0.0464    0.0464   0.5043   0.0000  0.0000  0.4394
  194   593      0.0560   0.0462    0.0462   0.5049   0.0000  0.0000  0.4391
  195   594      0.0558   0.0461    0.0461   0.5055   0.0000  0.0000  0.4387
  196   595      0.0556   0.0461    0.0461   0.5060   0.0000  0.0000  0.4384
  197   596      0.0554   0.0460    0.0460   0.5065   0.0000  0.0000  0.4382
  198   597      0.0552   0.0459    0.0459   0.5069   0.0000  0.0000  0.4379
  199   598      0.0550   0.0459    0.0459   0.5074   0.0000  0.0000  0.4376
  200   599      0.0548   0.0458    0.0458   0.5079   0.0000  0.0000  0.4373
  201   600      0.0545   0.0457    0.0457   0.5084   0.0000  0.0000  0.4370
 
