   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
  155   753      0.2947   0.1903    0.2054   0.2807   0.0000  0.0000  0.4238
  156   754      0.2964   0.1910    0.2064   0.2779   0.0000  0.0000  0.4248
  157   755      0.2982   0.1918    0.2075   0.2750   0.0000  0.0000  0.4259
  158   756      0.3000   0.1925    0.2086   0.2721   0.0000  0.0000  0.4270
  159   757      0.3018   0.1933    0.2096   0.2693   0.0000  0.0000  0.4281
  160   758      0.3036   0.1941    0.2107   0.2664   0.0000  0.0000  0.4291
  161   759      0.3054   0.1948    0.2118   0.2636   0.0000  0.0000  0.4302
  162   760      0.3071   0.1955    0.2128   0.2607   0.0000  0.0000  0.4313
  163   761      0.3088   0.1962    0.2138   0.2580   0.0000  0.0000  0.4323
  164   762      0.3105   0.1969    0.2148   0.2553   0.0000  0.0000  0.4334
  165   763      0.3121   0.1976    0.2158   0.2526   0.0000  0.0000  0.4344
  166   764      0.3138   0.1983    0.2167   0.2500   0.0000  0.0000  0.4353
  167   765      0.3154   0.1989    0.2177   0.2474   0.0000  0.0000  0.4363
  168   766      0.3169   0.1996    0.2186   0.2449   0.0000  0.0000  0.4373
  169   767      0.3184   0.2002    0.2195   0.2424   0.0000  0.0000  0.4382
  170   768      0.3199   0.2008    0.2204   0.2401   0.0000  0.0000  0.4391
  171   769      0.3213   0.2014    0.2213   0.2378   0.0000  0.0000  0.4399
  172   770      0.3226   0.2020    0.2221   0.2356   0.0000  0.0000  0.4407
  173   771      0.3240   0.2026    0.2229   0.2335   0.0000  0.0000  0.4414
  174   772      0.3252   0.2031    0.2237   0.2315   0.0000  0.0000  0.4422
  175   773      0.3264   0.2036    0.2244   0.2297   0.0000  0.0000  0.4428
  176   774      0.3275   0.2041    0.2251   0.2280   0.0000  0.0000  0.4435
  177   775      0.3284   0.2045    0.2257   0.2264   0.0000  0.0000  0.4440
  178   776      0.3293   0.2049    0.2262   0.2250   0.0000  0.0000  0.4445
  179   777      0.3302   0.2053    0.2268   0.2237   0.0000  0.0000  0.4449
  180   778      0.3309   0.2056    0.2273   0.2226   0.0000  0.0000  0.4453
  181   779      0.3316   0.2059    0.2277   0.2216   0.0000  0.0000  0.4456
  182   780      0.3321   0.2062    0.2281   0.2209   0.0000  0.0000  0.4458
  183   781      0.3325   0.2064    0.2284   0.2204   0.0000  0.0000  0.4460
  184   782      0.3329   0.2066    0.2287   0.2198   0.0000  0.0000  0.4461
  185   783      0.3333   0.2068    0.2290   0.2193   0.0000  0.0000  0.4462
  186   784      0.3337   0.2070    0.2293   0.2188   0.0000  0.0000  0.4464
  187   785      0.3341   0.2073    0.2296   0.2182   0.0000  0.0000  0.4465
  188   786      0.3345   0.2075    0.2299   0.2176   0.0000  0.0000  0.4467
  189   787      0.3350   0.2077    0.2302   0.2171   0.0000  0.0000  0.4468
  190   788      0.3354   0.2079    0.2305   0.2165   0.0000  0.0000  0.4469
  191   789      0.3358   0.2082    0.2308   0.2160   0.0000  0.0000  0.4470
  192   790      0.3362   0.2084    0.2312   0.2154   0.0000  0.0000  0.4472
  193   791      0.3365   0.2086    0.2314   0.2149   0.0000  0.0000  0.4473
  194   792      0.3369   0.2088    0.2317   0.2144   0.0000  0.0000  0.4475
  195   793      0.3373   0.2090    0.2320   0.2139   0.0000  0.0000  0.4476
  196   794      0.3377   0.2092    0.2323   0.2134   0.0000  0.0000  0.4477
  197   795      0.3381   0.2094    0.2326   0.2129   0.0000  0.0000  0.4478
  198   796      0.3384   0.2096    0.2329   0.2124   0.0000  0.0000  0.4479
  199   797      0.3388   0.2098    0.2332   0.2119   0.0000  0.0000  0.4480
  200   798      0.3392   0.2100    0.2335   0.2114   0.0000  0.0000  0.4482
  201   799      0.3396   0.2103    0.2338   0.2109   0.0000  0.0000  0.4483
  202   800      0.3400   0.2105    0.2341   0.2103   0.0000  0.0000  0.4484
  203   801      0.3403   0.2106    0.2343   0.2099   0.0000  0.0000  0.4485
  204   802      0.3406   0.2108    0.2346   0.2095   0.0000  0.0000  0.4486
  205   803      0.3410   0.2111    0.2349   0.2090   0.0000  0.0000  0.4487
  206   804      0.3414   0.2113    0.2352   0.2085   0.0000  0.0000  0.4488
  207   805      0.3418   0.2115    0.2354   0.2081   0.0000  0.0000  0.4489
  208   806      0.3421   0.2117    0.2357   0.2077   0.0000  0.0000  0.4490
  209   807      0.3425   0.2119    0.2360   0.2072   0.0000  0.0000  0.4491
  210   808      0.3428   0.2121    0.2363   0.2067   0.0000  0.0000  0.4492
  211   809      0.3432   0.2122    0.2365   0.2063   0.0000  0.0000  0.4493
  212   810      0.3435   0.2124    0.2368   0.2058   0.0000  0.0000  0.4494
  213   811      0.3438   0.2126    0.2371   0.2054   0.0000  0.0000  0.4495
  214   812      0.3441   0.2128    0.2373   0.2051   0.0000  0.0000  0.4496
  215   813      0.3444   0.2129    0.2375   0.2047   0.0000  0.0000  0.4496
  216   814      0.3447   0.2131    0.2378   0.2043   0.0000  0.0000  0.4497
  217   815      0.3449   0.2133    0.2380   0.2040   0.0000  0.0000  0.4498
  218   816      0.3452   0.2134    0.2382   0.2036   0.0000  0.0000  0.4499
  219   817      0.3455   0.2136    0.2385   0.2033   0.0000  0.0000  0.4499
  220   818      0.3458   0.2138    0.2387   0.2029   0.0000  0.0000  0.4500
  221   819      0.3461   0.2140    0.2390   0.2025   0.0000  0.0000  0.4500
  222   820      0.3464   0.2142    0.2393   0.2022   0.0000  0.0000  0.4501
