   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
  123   721      0.1610   0.2111    0.2111   0.1953   0.0000  0.0000  0.6436
  124   722      0.1645   0.2147    0.2147   0.1892   0.0000  0.0000  0.6462
  125   723      0.1679   0.2182    0.2182   0.1833   0.0000  0.0000  0.6487
  126   724      0.1712   0.2216    0.2216   0.1776   0.0000  0.0000  0.6512
  127   725      0.1745   0.2249    0.2249   0.1719   0.0000  0.0000  0.6535
  128   726      0.1776   0.2281    0.2281   0.1665   0.0000  0.0000  0.6559
  129   727      0.1807   0.2312    0.2312   0.1612   0.0000  0.0000  0.6581
  130   728      0.1836   0.2342    0.2342   0.1561   0.0000  0.0000  0.6602
  131   729      0.1865   0.2371    0.2371   0.1512   0.0000  0.0000  0.6623
  132   730      0.1893   0.2399    0.2399   0.1464   0.0000  0.0000  0.6643
  133   731      0.1919   0.2425    0.2425   0.1419   0.0000  0.0000  0.6661
  134   732      0.1945   0.2451    0.2451   0.1375   0.0000  0.0000  0.6679
  135   733      0.1969   0.2476    0.2476   0.1334   0.0000  0.0000  0.6696
  136   734      0.1992   0.2499    0.2499   0.1295   0.0000  0.0000  0.6713
  137   735      0.2014   0.2521    0.2521   0.1257   0.0000  0.0000  0.6728
  138   736      0.2035   0.2542    0.2542   0.1222   0.0000  0.0000  0.6742
  139   737      0.2055   0.2562    0.2562   0.1189   0.0000  0.0000  0.6756
  140   738      0.2074   0.2581    0.2581   0.1157   0.0000  0.0000  0.6768
  141   739      0.2092   0.2599    0.2599   0.1128   0.0000  0.0000  0.6779
  142   740      0.2109   0.2616    0.2616   0.1100   0.0000  0.0000  0.6790
  143   741      0.2125   0.2632    0.2632   0.1074   0.0000  0.0000  0.6800
  144   742      0.2140   0.2647    0.2647   0.1051   0.0000  0.0000  0.6809
  145   743      0.2154   0.2661    0.2661   0.1028   0.0000  0.0000  0.6817
  146   744      0.2167   0.2674    0.2674   0.1008   0.0000  0.0000  0.6825
  147   745      0.2179   0.2686    0.2686   0.0989   0.0000  0.0000  0.6832
  148   746      0.2190   0.2698    0.2698   0.0971   0.0000  0.0000  0.6838
  149   747      0.2200   0.2709    0.2709   0.0955   0.0000  0.0000  0.6844
  150   748      0.2210   0.2719    0.2719   0.0940   0.0000  0.0000  0.6849
  151   749      0.2219   0.2729    0.2729   0.0927   0.0000  0.0000  0.6853
  152   750      0.2228   0.2737    0.2737   0.0915   0.0000  0.0000  0.6857
  153   751      0.2236   0.2746    0.2746   0.0903   0.0000  0.0000  0.6861
  154   752      0.2244   0.2755    0.2755   0.0891   0.0000  0.0000  0.6865
  155   753      0.2252   0.2763    0.2763   0.0879   0.0000  0.0000  0.6868
  156   754      0.2261   0.2772    0.2772   0.0867   0.0000  0.0000  0.6872
  157   755      0.2269   0.2781    0.2781   0.0855   0.0000  0.0000  0.6875
  158   756      0.2277   0.2790    0.2790   0.0843   0.0000  0.0000  0.6879
  159   757      0.2285   0.2799    0.2799   0.0832   0.0000  0.0000  0.6882
  160   758      0.2294   0.2808    0.2808   0.0820   0.0000  0.0000  0.6886
  161   759      0.2302   0.2816    0.2816   0.0809   0.0000  0.0000  0.6889
  162   760      0.2310   0.2825    0.2825   0.0797   0.0000  0.0000  0.6893
  163   761      0.2317   0.2833    0.2833   0.0786   0.0000  0.0000  0.6896
  164   762      0.2325   0.2841    0.2841   0.0775   0.0000  0.0000  0.6899
  165   763      0.2332   0.2849    0.2849   0.0765   0.0000  0.0000  0.6902
  166   764      0.2339   0.2857    0.2857   0.0755   0.0000  0.0000  0.6905
  167   765      0.2347   0.2864    0.2864   0.0745   0.0000  0.0000  0.6908
  168   766      0.2353   0.2871    0.2871   0.0735   0.0000  0.0000  0.6911
  169   767      0.2360   0.2879    0.2879   0.0725   0.0000  0.0000  0.6914
  170   768      0.2367   0.2886    0.2886   0.0717   0.0000  0.0000  0.6916
